FIPS,county_name,county,month,day,year,population,primary_point
19195,Worth County,Worth,4,1,1990,7991,POINT (-93.2608476 43.3773984)
19109,Kossuth County,Kossuth,4,1,1990,18591,POINT (-94.2067199 43.20413)
19051,Davis County,Davis,4,1,1990,8312,POINT (-92.4097173 40.7476891)
19007,Appanoose County,Appanoose,4,1,1990,13743,POINT (-92.8686104 40.7431635)
19167,Sioux County,Sioux,4,1,1990,29903,POINT (-96.1778827 43.0826174)
19043,Clayton County,Clayton,4,1,1990,19054,POINT (-91.3414328 42.8447493)
19179,Wapello County,Wapello,4,1,1990,35696,POINT (-92.4094499 41.0305845)
19081,Hancock County,Hancock,4,1,1990,12638,POINT (-93.7342723 43.0818861)
19171,Tama County,Tama,4,1,1990,17419,POINT (-92.5325425 42.0798117)
19117,Lucas County,Lucas,4,1,1990,9070,POINT (-93.3277207 41.0293738)
19033,Cerro Gordo County,Cerro Gordo,4,1,1990,46733,POINT (-93.2608184 43.0815577)
19097,Jackson County,Jackson,4,1,1990,19950,POINT (-90.5742294 42.1717426)
19155,Pottawattamie County,Pottawattamie,4,1,1990,82628,POINT (-95.5423935 41.3366123)
19023,Butler County,Butler,4,1,1990,15731,POINT (-92.7901934 42.7315661)
19087,Henry County,Henry,4,1,1990,19226,POINT (-91.5445241 40.9879383)
19151,Pocahontas County,Pocahontas,4,1,1990,9525,POINT (-94.6787466 42.7341351)
19057,Des Moines County,Des Moines,4,1,1990,42614,POINT (-91.1814707 40.9231829)
19143,Osceola County,Osceola,4,1,1990,7267,POINT (-95.6236852 43.3785704)
19037,Chickasaw County,Chickasaw,4,1,1990,13295,POINT (-92.3176637 43.0600414)
19145,Page County,Page,4,1,1990,16870,POINT (-95.1501747 40.7391444)
19031,Cedar County,Cedar,4,1,1990,17444,POINT (-91.1324125 41.7723207)
19017,Bremer County,Bremer,4,1,1990,22813,POINT (-92.3180548 42.7745873)
19027,Carroll County,Carroll,4,1,1990,21423,POINT (-94.8605593 42.0362382)
19071,Fremont County,Fremont,4,1,1990,8226,POINT (-95.6046765 40.7455892)
19021,Buena Vista County,Buena Vista,4,1,1990,19965,POINT (-95.151149 42.7354936)
19029,Cass County,Cass,4,1,1990,15128,POINT (-94.9278266 41.3314876)
19013,Black Hawk County,Black Hawk,4,1,1990,123798,POINT (-92.3088197 42.4700957)
19115,Louisa County,Louisa,4,1,1990,11592,POINT (-91.2596184 41.2185073)
19095,Iowa County,Iowa,4,1,1990,14630,POINT (-92.065524 41.6863229)
19175,Union County,Union,4,1,1990,12750,POINT (-94.2423792 41.0277304)
19177,Van Buren County,Van Buren,4,1,1990,7676,POINT (-91.9499871 40.7532294)
19139,Muscatine County,Muscatine,4,1,1990,39907,POINT (-91.1127562 41.4839221)
